# element centroid_x centroid_y signed_dwr abs_dwr primal_residual_norm dual_correction_rms dual_solution_rms residual_dual_product marked
59 2.108440829232e-01 5.206626473242e-02 -2.840129569109e-09 2.840129569109e-09 1.380413096566e-04 1.714532198430e-05 2.286393669259e-02 2.366762701197e-09 0
60 1.980849512899e-01 5.968497201676e-02 -2.354851526921e-09 2.354851526921e-09 1.248591006714e-04 1.564695872934e-05 2.573632162073e-02 1.953665195188e-09 0
61 1.014745726664e-01 1.764116025370e-01 -5.117687743188e-09 5.117687743188e-09 1.710053973284e-04 4.421259004718e-05 6.638500602968e-02 7.560591527935e-09 1
62 1.326027678722e-01 1.378039888903e-01 -9.325129726234e-10 9.325129726234e-10 8.218609200489e-05 1.169250331939e-05 5.452263409704e-02 9.609611535745e-10 0
63 1.556967062319e-01 1.433556854876e-01 -1.086767013547e-09 1.086767013547e-09 9.709180540428e-05 1.255873090868e-05 5.771197592170e-02 1.219349857510e-09 0
64 1.342888133642e-01 1.597562050821e-01 -7.775662976169e-10 7.775662976169e-10 8.929064333110e-05 1.274603486402e-05 6.282317180459e-02 1.138101652929e-09 0
65 1.408627624894e-01 1.469719598200e-01 -8.072241781435e-10 8.072241781435e-10 7.454067941156e-05 1.188317854162e-05 5.835379532855e-02 8.857802020613e-10 0
66 2.858437856296e-02 1.996231923710e-01 1.960337850995e-09 1.960337850995e-09 9.473055962088e-05 4.394426641840e-05 7.383668937877e-02 4.162864949944e-09 0
67 5.890676719793e-02 2.024285476828e-01 1.643518608759e-09 1.643518608759e-09 1.301651617990e-04 4.425575552198e-05 7.421005641595e-02 5.760557578057e-09 0
68 1.836187638283e-01 1.301129987832e-01 -2.491532078430e-09 2.491532078430e-09 1.338796216084e-04 1.694105374072e-05 5.408769606345e-02 2.268061864455e-09 0
69 1.970125135323e-01 1.051522438913e-01 -2.906595983573e-09 2.906595983573e-09 1.497208540556e-04 1.770133210328e-05 4.472295079346e-02 2.650258560425e-09 0
70 2.094893556863e-01 1.261945165591e-01 -3.609212147286e-09 3.609212147286e-09 1.663831333216e-04 1.933234855148e-05 5.411516796858e-02 3.216576726460e-09 1
71 1.967068776823e-01 1.204865864112e-01 -3.307621338106e-09 3.307621338106e-09 1.610436600252e-04 1.907363291728e-05 5.098189935900e-02 3.071687654976e-09 0
72 2.240688097044e-01 2.963170496538e-02 -3.194055293838e-09 3.194055293838e-09 1.472065916585e-04 1.793607393371e-05 1.341285620252e-02 2.640308311517e-09 0
73 2.122672024261e-01 7.407926241346e-03 -2.644841503845e-09 2.644841503845e-09 1.313051021081e-04 1.659760884608e-05 3.983851170096e-03 2.179350724285e-09 0
74 2.372672024261e-01 7.407926241346e-03 -3.782605316544e-09 3.782605316544e-09 1.612392840776e-04 1.932265881086e-05 4.124609030194e-03 3.115571673138e-09 1
75 2.245344048522e-01 1.481585248269e-02 -3.145523325233e-09 3.145523325233e-09 1.462524650409e-04 1.762404074989e-05 7.016257294950e-03 2.577559403652e-09 0
76 2.100100749932e-01 8.198297045351e-02 -2.848948871800e-09 2.848948871800e-09 1.428332014172e-04 1.675284802620e-05 3.565720427888e-02 2.392862916438e-09 0
77 2.231526075804e-01 5.929779849189e-02 -3.281891344121e-09 3.281891344121e-09 1.534985583195e-04 1.780087481933e-05 2.640518863222e-02 2.732408621592e-09 0
78 2.349433192389e-01 8.116334966170e-02 -4.039243585719e-09 4.039243585719e-09 1.744945686883e-04 1.932260669532e-05 3.651602266048e-02 3.371689921234e-09 1
79 2.227020006042e-01 7.414803953570e-02 -3.447971195232e-09 3.447971195232e-09 1.578903360840e-04 1.849519129940e-05 3.285920080500e-02 2.920211970199e-09 1
80 1.634698668503e-01 1.821092090874e-01 -2.174394396952e-09 2.174394396952e-09 1.520150830395e-04 1.762812209239e-05 7.275486013315e-02 2.679740443704e-09 0
81 1.420055881087e-01 1.708325101314e-01 -1.491614774649e-09 1.491614774649e-09 1.181558612976e-04 1.596026055554e-05 6.731546291122e-02 1.885798332475e-09 0
82 1.634134809764e-01 1.544319905369e-01 -1.996286902366e-09 1.996286902366e-09 1.258714829673e-04 1.660403436896e-05 6.237675703342e-02 2.089974429261e-09 0
83 1.562963119785e-01 1.691245699186e-01 -1.805025844439e-09 1.805025844439e-09 1.386019765044e-04 1.640462270569e-05 6.749177498542e-02 2.273713130818e-09 0
84 2.222650203362e-01 1.176010579978e-01 -3.648198433220e-09 3.648198433220e-09 1.711180240104e-04 1.819382964013e-05 5.140827201458e-02 3.113292177200e-09 1
85 2.097881781822e-01 9.655878533000e-02 -2.871363018239e-09 2.871363018239e-09 1.463048157742e-04 1.659785384992e-05 4.181102820605e-02 2.428345949760e-09 0
86 2.347214224279e-01 9.573916453819e-02 -3.922338006260e-09 3.922338006260e-09 1.746212631992e-04 1.897153942153e-05 4.287178980213e-02 3.312834178621e-09 1
87 2.222582069821e-01 1.032996692887e-01 -3.399163914267e-09 3.399163914267e-09 1.631078747626e-04 1.768089339270e-05 4.536751943009e-02 2.883892945187e-09 0
88 1.604562542661e-02 2.280069059075e-01 6.503802742101e-09 6.503802742101e-09 1.136475834083e-04 4.250385323317e-05 8.218664047024e-02 4.830460205489e-09 1
89 1.215372522689e-01 2.113906979986e-01 -9.255275998540e-10 9.255275998540e-10 1.230954101209e-04 1.434083696021e-05 8.070820443972e-02 1.765291207094e-09 0
90 9.988190687516e-02 1.987910942961e-01 -6.003173451640e-10 6.003173451640e-10 1.018329868426e-04 1.297893284958e-05 7.533033379729e-02 1.321683498102e-09 0
91 1.209127503722e-01 1.855606286655e-01 -1.122364105727e-09 1.122364105727e-09 1.021988440551e-04 1.431879741348e-05 7.158874387361e-02 1.463364543917e-09 0
92 1.141106365054e-01 1.985808069867e-01 -7.813910656428e-10 7.813910656428e-10 1.002185286236e-04 1.356552529600e-05 7.587873576148e-02 1.359516985172e-09 0
93 2.106890772636e-01 1.395700660643e-01 -2.193743963188e-09 2.193743963188e-09 1.438351786403e-04 1.576890676352e-05 5.964075749149e-02 2.268123521292e-09 0
94 2.018113998412e-01 1.586544419122e-01 -2.428048998641e-09 2.428048998641e-09 1.405032968127e-04 1.574481217201e-05 6.658217153351e-02 2.212198017864e-09 0
95 1.848184854056e-01 1.434885482884e-01 -2.152455631593e-09 2.152455631593e-09 1.373665176398e-04 1.441786895978e-05 5.943806087061e-02 1.980532450792e-09 0
96 1.991063208368e-01 1.472376854216e-01 -2.151933501743e-09 2.151933501743e-09 1.402589353718e-04 1.613722983567e-05 6.187850536647e-02 2.263390676602e-09 0
97 7.831447554540e-02 2.371557602785e-01 2.973948377758e-10 2.973948377758e-10 9.969941267387e-05 1.331579703035e-05 8.748274343875e-02 1.327577143210e-09 0
98 5.702797508631e-02 2.245922892829e-01 2.777324617479e-10 2.777324617479e-10 6.892602025828e-05 1.255153255537e-05 8.269587431220e-02 8.651271871840e-10 0
