# element centroid_x centroid_y signed_dwr abs_dwr primal_residual_norm dual_correction_rms dual_solution_rms residual_dual_product marked
54 1.588894137863e-01 2.239810661375e-01 -4.097483808121e-08 4.097483808121e-08 8.896685204189e-04 7.560425469459e-05 8.749450719631e-02 6.726272541151e-08 0
55 2.744742680994e-01 1.469268767367e-02 -1.001515544506e-07 1.001515544506e-07 8.571167855311e-04 9.740384178027e-05 8.669414548874e-03 8.348646776508e-08 0
56 1.967520141934e-01 1.920061933411e-01 -3.222598129733e-08 3.222598129733e-08 6.014353193499e-04 5.678393413402e-05 7.901471867080e-02 3.415186355984e-08 0
57 2.722906687460e-01 7.339808884239e-02 -1.001043270472e-07 1.001043270472e-07 8.990896807791e-04 9.184963057662e-05 3.532947986400e-02 8.258105503481e-08 0
58 2.710661184985e-01 1.024112596309e-01 -1.037473902836e-07 1.037473902836e-07 9.322652888277e-04 9.340555507136e-05 4.853991344506e-02 8.707875677672e-08 0
59 1.138636493584e-01 2.498632393967e-01 -6.796217399564e-09 6.796217399564e-09 6.895064211783e-04 6.006451821826e-05 9.326771065283e-02 4.141487099647e-08 0
60 1.876001717796e-01 2.195320475889e-01 -6.214763150982e-08 6.214763150982e-08 8.790956700408e-04 9.021003833513e-05 8.823387278231e-02 7.930325409462e-08 0
61 1.419072116624e-02 2.749822892832e-01 2.916535860095e-08 2.916535860095e-08 3.802065262895e-04 5.256898758830e-05 9.814828101297e-02 1.998707216150e-08 0
62 2.212195344327e-01 1.844602882741e-01 -4.378273919989e-08 4.378273919989e-08 6.744266258070e-04 6.404660543684e-05 7.835918487839e-02 4.319473599916e-08 0
63 1.444301880968e-01 2.508088183082e-01 -3.395831926271e-08 3.395831926271e-08 8.775006540108e-04 7.574336812775e-05 9.550135114724e-02 6.646485506908e-08 0
64 7.088567582920e-02 2.749350009842e-01 2.019358398793e-08 2.019358398793e-08 6.265514565641e-04 5.538005905748e-05 9.930476047905e-02 3.469845666707e-08 0
